data	dias	cult	bloco	nsup	nmed	ninf	ntot
2010-01-18	38	BRS 239	II	1	0	0	1
2010-01-18	38	BRS 239	III	0	0	0	0
2010-01-18	38	BRS 239	IV	2	9	3	14
2010-01-18	38	EMBRAPA 48	I	1	6	4	11
2010-01-18	38	EMBRAPA 48	II	0	1	0	1
2010-01-18	38	EMBRAPA 48	III	0	0	0	0
2010-01-18	38	EMBRAPA 48	IV	2	1	4	7
2010-01-18	38	CD 214 RR	I	5	2	4	11
2010-01-18	38	CD 214 RR	II	3	2	2	7
2010-01-18	38	CD 214 RR	III	0	0	2	2
2010-01-18	38	CD 214 RR	IV	0	0	0	0
2010-01-18	38	CD 202	I	1	9	6	16
2010-01-18	38	CD 202	II	0	0	1	1
2010-01-18	38	CD 202	III	0	0	0	0
2010-01-18	38	CD 202	IV	0	2	1	3
2010-01-18	38	M 7908 RR	I	3	1	13	17
2010-01-18	38	M 7908 RR	II	5	0	0	5
2010-01-18	38	M 7908 RR	III	1	0	0	1
2010-01-18	38	M 7908 RR	IV	2	0	0	2
2010-01-18	38	VMAX RR	I	0	1	0	1
2010-01-18	38	VMAX RR	II	13	3	0	16
2010-01-18	38	VMAX RR	III	1	0	0	1
2010-01-18	38	VMAX RR	IV	6	1	3	10
2010-01-18	38	CD 219 RR	I	49	12	2	63
2010-01-18	38	CD 219 RR	II	110	42	28	180
2010-01-18	38	CD 219 RR	III	7	3	0	10
2010-01-18	38	CD 219 RR	IV	4	3	4	11
